PlayerName		FPLTeam
Bhuvneshwar Kumar	,	CR
Harshal Patel	,	CR
Kane Williamson	,	CR
Marcus Stoinis	,	CR
Virat Kohli	,	CR
Hardik Pandya	,	CR
Devon Conway	,	CR
Shikhar Dhawan	,	CR
Rishabh Pant	,	CR
Andre Russell	,	CR
Manish Pandey	,	CR
Sam Billings	,	CR
Riyan Parag	,	CR
Tilak Varma	,	CR
Mohammed Siraj	,	ET
Shivam Mavi	,	ET
Shreyas Iyer	,	ET
Abdul Samad	,	ET
Rahul Tewatia	,	ET
Murugan Ashwin	,	ET
Ravi Bishnoi	,	ET
Ruturaj Gaikwad	,	ET
Evin Lewis	,	ET
Ishan Kishan	,	ET
Sanju Samson	,	ET
Krishnappa Gowtham	,	ET
Khaleel Ahmed	,	ET
Prabhsimran Singh	,	ET
Lalit Yadav	,	ET
Deepak Hooda	,	HH
Josh Hazlewood	,	HH
Axar Patel	,	HH
Prasidh Krishna	,	HH
Ambati Rayudu	,	HH
Rahul Tripathi	,	HH
Mayank Agarwal	,	HH
Suryakumar Yadav	,	HH
Shahrukh Khan	,	HH
Rohit Sharma	,	HH
Glenn Maxwell	,	HH
Mitchell Marsh	,	HH
Rishi Dhawan	,	HH
Gurkeerat Mann Singh	,	HH
James Neesham	,	HH
Sarfaraz Khan	,	HH
Daryl Mitchell	,	IA
Lockie Ferguson	,	IA
Faf du Plessis	,	IA
Ravindra Jadeja	,	IA
Pat Cummins	,	IA
Prithvi Shaw	,	IA
KL Rahul	,	IA
Odean Smith	,	IA
Devdutt Padikkal	,	IA
Nicholas Pooran	,	IA
Mayank Markande	,	IA
Dewald Brevis	,	IA
Shreyas Gopal	,	IA
Abhishek Sharma	,	PP
Avesh Khan	,	PP
Varun Chakaravarthy	,	PP
Moeen Ali	,	PP
Jasprit Bumrah	,	PP
Jos Buttler	,	PP
Venkatesh Iyer	,	PP
Tim David	,	PP
Shubman Gill	,	PP
Sai Kishore	,	PP
Yash Dhull	,	PP
K.S Bharat	,	PP
Romario Shepherd	,	PP
Umran Malik	,	PP
Rajvardhan Hangargekar	,	PP
Abhinav Manohar	,	PP
David Warner	,	ID
Jonny Bairstow	,	ID
Kagiso Rabada	,	ID
Nitish Rana	,	ID
Rovman Powell	,	ID
Priyam Garg	,	ID
Shivam Dube	,	ID
Quinton de Kock	,	ID
Daniel Sams	,	ID
Shimron Hetmyer	,	ID
Kieron Pollard	,	ID
Vijay Shankar	,	ID
Yash Dayal	,	ID
Abhijeet Tomar	,	ID
Aman Hakim Khan	,	ID
Shubham Garhwal	,	ID
