DATE & DAY		MATCH		TIME (IST)		VENUE		MatchNo
April 9, Friday	,	Mumbai Indians vs Royal Challengers Bangalore	,	7:30 PM	,	Chennai	,	1
April 10, Saturday	,	Chennai Super Kings vs Delhi Capitals	,	7:30 PM	,	Mumbai	,	2
April 11, Sunday	,	Sunrisers Hyderabad vs Kolkata Knight Riders	,	7:30 PM	,	Chennai	,	3
April 12, Monday	,	Rajasthan Royals vs Punjab Kings	,	7:30 PM	,	Mumbai	,	4
April 13, Tuesday	,	Kolkata Knight Riders vs Mumbai Indians	,	7:30 PM	,	Chennai	,	5
April 14, Wednesday	,	Sunrisers Hyderabad vs Royal Challengers Bangalore	,	7:30 PM	,	Chennai	,	6
April 15, Thursday	,	Rajasthan Royals vs Delhi Capitals	,	7:30 PM	,	Mumbai	,	7
April 16, Friday	,	Punjab Kings vs Chennai Super Kings	,	7:30 PM	,	Mumbai	,	8
April 17, Saturday	,	Mumbai Indians vs Sunrisers Hyderabad	,	7:30 PM	,	Chennai	,	9
April 18, Sunday	,	Royal Challengers Bangalore vs Kolkata Knight Riders	,	3:30 PM	,	Chennai	,	10
April 18, Sunday	,	Delhi Capitals vs Punjab Kings	,	7:30 PM	,	Mumbai	,	11
April 19, Monday	,	Chennai Super Kings vs Rajasthan Royals	,	7:30 PM	,	Mumbai	,	12
April 20, Tuesday	,	Delhi Capitals vs Mumbai Indians	,	7:30 PM	,	Chennai	,	13
April 21, Wednesday	,	Punjab Kings vs Sunrisers Hyderabad	,	3:30 PM	,	Chennai	,	14
April 21, Wednesday	,	Kolkata Knight Riders vs Chennai Super Kings	,	7:30 PM	,	Mumbai	,	15
April 22, Thursday	,	Royal Challengers Bangalore vs Rajasthan Royals	,	7:30 PM	,	Mumbai	,	16
April 23, Friday	,	Punjab Kings vs Mumbai Indians	,	7:30 PM	,	Chennai	,	17
April 24, Saturday	,	Rajasthan Royals vs Kolkata Knight Riders	,	7:30 PM	,	Mumbai	,	18
April 25, Sunday	,	Chennai Super Kings vs Royal Challengers Bangalore	,	3:30 PM	,	Mumbai	,	19
April 25, Sunday	,	Sunrisers Hyderabad vs Delhi Capitals	,	7:30 PM	,	Chennai	,	20
April 26, Monday	,	Punjab Kings vs Kolkata Knight Riders	,	7:30 PM	,	Ahmedabad	,	21
April 27, Tuesday	,	Delhi Capitals vs Royal Challengers Bangalore	,	7:30 PM	,	Ahmedabad	,	22
April 28, Wednesday	,	Chennai Super Kings vs Sunrisers Hyderabad	,	7:30 PM	,	Delhi	,	23
April 29, Thursday	,	Mumbai Indians vs Rajasthan Royals	,	3:30 PM	,	Delhi	,	24
April 29, Thursday	,	Delhi Capitals vs Kolkata Knight Riders	,	7:30 PM	,	Ahmedabad	,	25
April 30, Friday	,	Punjab Kings vs Royal Challengers Bangalore	,	7:30 PM	,	Ahmedabad	,	26
May 1, Saturday	,	Mumbai Indians vs Chennai Super Kings	,	7:30 PM	,	Delhi	,	27
May 2, Sunday	,	Rajasthan Royals vs Sunrisers Hyderabad	,	3:30 PM	,	Delhi	,	28
May 2, Sunday	,	Punjab Kings vs Delhi Capitals	,	7:30 PM	,	Ahmedabad	,	29
May 3, Monday	,	Kolkata Knight Riders vs Royal Challengers Bangalore	,	7:30 PM	,	Ahmedabad	,	30
