BATSMEN				RUNS		BALLS		SR		4S		6S
Ajinkya Rahane	,	c Ravindra Jadeja b Mitchell Santner	,	44	,	34	,	129.41	,	6	,	1
Venkatesh Iyer	,	c MS Dhoni b Dwayne Bravo	,	16	,	16	,	100	,	2	,	0
Nitish Rana	,	c Ambati Rayudu b Dwayne Bravo	,	21	,	17	,	123.53	,	2	,	1
Shreyas Iyer	,	not out	,	20	,	19	,	105.26	,	1	,	0
Sam Billings	,	c Tushar Deshpande b Dwayne Bravo	,	25	,	22	,	113.64	,	1	,	1
Ruturaj Gaikwad	,	c Nitish Rana b Umesh Yadav	,	0	,	4	,	0	,	0	,	0
Devon Conway	,	c Shreyas Iyer b Umesh Yadav	,	3	,	8	,	37.5	,	0	,	0
Robin Uthappa	,	st Sheldon Jackson b Varun Chakaravarthy	,	28	,	21	,	133.33	,	2	,	2
Ambati Rayudu	,	run out (Shreyas Iyer)	,	15	,	17	,	88.24	,	1	,	1
Ravindra Jadeja,	not out	,	26	,	28	,	92.86	,	0	,	1
Shivam Dube	,	c Sunil Narine b Andre Russell	,	3	,	6	,	50	,	0	,	0
MS Dhoni (wk)	,	not out	,	50	,	38	,	131.58	,	7	,	1
