BOWLER	,	O	,	R	,	W	,	ECON	,	DOTS	,	m	,	h
Umesh Yadav	,	4	,	20	,	2	,	5	,	15	,	0	,	FALSE
Shivam Mavi	,	4	,	35	,	0	,	8.75	,	12	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	23	,	1	,	5.75	,	11	,	0	,	FALSE
Sunil Narine	,	4	,	15	,	0	,	3.75	,	10	,	0	,	FALSE
Andre Russell	,	4	,	38	,	1	,	9.5	,	7	,	0	,	FALSE
Tushar Deshpande	,	3	,	23	,	0	,	7.67	,	9	,	0	,	FALSE
Adam Milne	,	2.3	,	19	,	0	,	7.6	,	9	,	0	,	FALSE
Mitchell Santner	,	4	,	31	,	1	,	7.75	,	5	,	0	,	FALSE
Dwayne Bravo	,	4	,	20	,	3	,	5	,	11	,	0	,	FALSE
Shivam Dube	,	1	,	11	,	0	,	11	,	1	,	0	,	FALSE
Ravindra Jadeja	,	4	,	25	,	0	,	6.25	,	8	,	0	,	FALSE
