Bowler		O		R		W		Econ		Dots		m		h
Deepak Chahar	,	3	,	32	,	0	,	10.66	,	7	,	0	,	FALSE
Sam Curran	,	4	,	24	,	2	,	6	,	14	,	0	,	FALSE
Shardul Thakur	,	3	,	20	,	1	,	6.66	,	9	,	0	,	FALSE
Ravindra Jadeja	,	4	,	28	,	2	,	7	,	9	,	0	,	FALSE
Dwayne Bravo	,	3	,	28	,	1	,	9.33	,	8	,	0	,	FALSE
Moeen Ali	,	3	,	7	,	3	,	2.33	,	11	,	0	,	FALSE
Jaydev Unadkat	,	4	,	40	,	0	,	10	,	7	,	0	,	FALSE
Chetan Sakariya	,	4	,	36	,	3	,	9	,	9	,	0	,	FALSE
Mustafizur Rahman	,	4	,	37	,	1	,	9.25	,	9	,	0	,	FALSE
Chris Morris	,	4	,	33	,	2	,	8.25	,	11	,	0	,	FALSE
Rahul Tewatia	,	3	,	21	,	1	,	7	,	8	,	0	,	FALSE
Riyan Parag	,	1	,	16	,	0	,	16	,	2	,	0	,	FALSE
