Batsmen				Runs		Balls		SR		4s		6s
KL Rahul	,	c Kedar Jadhav b Bhuvneshwar Kumar	,	4	,	6	,	66.66	,	0	,	0
Mayank Agarwal	,	c Rashid Khan b Khaleel Ahmed	,	22	,	25	,	88	,	2	,	0
Chris Gayle	,	lbw Rashid Khan	,	15	,	17	,	88.23	,	2	,	0
Nicholas Pooran	,	run out (David Warner)	,	0	,	0	,	0	,	0	,	0
Deepak Hooda	,	lbw Abhishek Sharma	,	13	,	11	,	118.18	,	2	,	0
Moises Henriques	,	st Jonny Bairstow b Abhishek Sharma	,	14	,	17	,	82.35	,	0	,	0
Shahrukh Khan	,	c Abhishek Sharma b Khaleel Ahmed	,	22	,	17	,	129.41	,	0	,	2
Fabian Allen	,	c David Warner b Khaleel Ahmed	,	6	,	11	,	54.54	,	0	,	0
Murugan Ashwin	,	c Jonny Bairstow b Siddarth Kaul	,	9	,	10	,	90	,	1	,	0
Mohammad Shami	,	run out (Vijay Shankar/Jonny Bairstow)	,	3	,	3	,	100	,	0	,	0
Arshdeep Singh	,	NOT OUT	,	1	,	2	,	50	,	0	,	0
David Warner	,	c Mayank Agarwal b Fabian Allen	,	37	,	37	,	100	,	3	,	1
Jonny Bairstow	,	NOT OUT	,	63	,	56	,	112.5	,	3	,	3
Kane Williamson	,	NOT OUT	,	16	,	19	,	84.21	,	0	,	0
