Bowler		O		R		W		Econ		Dots		M		H
Mohammed Siraj	,	4	,	32	,	0	,	8	,	9	,	0	,	FALSE
Kyle Jamieson	,	3	,	31	,	0	,	10.33	,	5	,	0	,	FALSE
Yuzvendra Chahal	,	3	,	24	,	1	,	8	,	8	,	0	,	FALSE
Navdeep Saini	,	2	,	27	,	0	,	13.5	,	1	,	0	,	FALSE
Harshal Patel	,	4	,	51	,	3	,	12.75	,	9	,	0	,	FALSE
Dan Christian	,	2	,	12	,	0	,	6	,	5	,	0	,	FALSE
Washington Sundar	,	2	,	13	,	0	,	6.5	,	7	,	0	,	FALSE
Deepak Chahar	,	2	,	25	,	0	,	12.5	,	4	,	0	,	FALSE
Sam Curran	,	4	,	35	,	1	,	8.75	,	9	,	0	,	FALSE
Shardul Thakur	,	4	,	11	,	1	,	2.75	,	17	,	0	,	FALSE
Ravindra Jadeja	,	4	,	13	,	3	,	3.25	,	15	,	1	,	FALSE
Imran Tahir	,	4	,	16	,	2	,	4	,	14	,	0	,	FALSE
Dwayne Bravo	,	2	,	19	,	0	,	9.5	,	4	,	0	,	FALSE
