Bowler		O		R		W		Econ		Dots				
Trent Boult	,	4	,	42	,	1	,	10.5	,	10	,	0	,	FALSE
Dhawal Kulkarni	,	4	,	48	,	0	,	12	,	7	,	0	,	FALSE
Jasprit Bumrah	,	4	,	56	,	1	,	14	,	5	,	0	,	FALSE
Rahul Chahar	,	4	,	32	,	0	,	8	,	8	,	0	,	FALSE
Jimmy Neesham	,	2	,	26	,	0	,	13	,	3	,	0	,	FALSE
Kieron Pollard	,	2	,	12	,	2	,	6	,	4	,	0	,	FALSE
Deepak Chahar	,	4	,	37	,	0	,	9.25	,	8	,	0	,	FALSE
Sam Curran	,	4	,	34	,	3	,	8.5	,	11	,	0	,	FALSE
Lungi Ngidi	,	4	,	62	,	0	,	15.5	,	3	,	0	,	FALSE
Shardul Thakur	,	4	,	56	,	1	,	14	,	4	,	0	,	FALSE
Ravindra Jadeja	,	3	,	29	,	1	,	9.66	,	5	,	0	,	FALSE
Moeen Ali	,	1	,	1	,	1	,	1	,	5	,	0	,	FALSE
