Batsmen	,		,	Runs	,	Balls	,	SR	,	4s	,	6s
Rohit Sharma	,	c Shubman Gill b Sunil Narine	,	33	,	30	,	110	,	4	,	0
Quinton de Kock	,	c Sunil Narine b Prasidh Krishna	,	55	,	42	,	130.95	,	4	,	3
Suryakumar Yadav	,	c Dinesh Karthik b Prasidh Krishna	,	5	,	10	,	50	,	0	,	0
Ishan Kishan	,	c Andre Russell b Lockie Ferguson	,	14	,	13	,	107.69	,	0	,	1
Kieron Pollard	,	run out (Eoin Morgan/Lockie Ferguson)	,	21	,	15	,	140	,	2	,	1
Krunal Pandya	,	c Venkatesh Iyer b Lockie Ferguson	,	12	,	9	,	133.33	,	0	,	1
Saurabh Tiwary	,	NOT OUT	,	5	,	2	,	250	,	1	,	0
Adam Milne	,	NOT OUT	,	1	,	1	,	100	,	0	,	0
Shubman Gill	,	b Jasprit Bumrah	,	13	,	9	,	144.44	,	1	,	1
Venkatesh Iyer	,	b Jasprit Bumrah	,	53	,	30	,	176.66	,	4	,	3
Rahul Tripathi	,	NOT OUT	,	74	,	42	,	176.19	,	8	,	3
Eoin Morgan	,	c Trent Boult b Jasprit Bumrah	,	7	,	8	,	87.5	,	0	,	1
Nitish Rana	,	NOT OUT	,	5	,	2	,	250	,	1	,	0
