Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Mohammad Shami	,	4	,	14	,	2	,	3.5	,	17	,	1	,	FALSE
Arshdeep Singh	,	4	,	22	,	1	,	5.5	,	9	,	0	,	FALSE
Nathan Ellis	,	4	,	32	,	0	,	8	,	10	,	0	,	FALSE
Harpreet Brar	,	4	,	25	,	0	,	6.25	,	6	,	0	,	FALSE
Ravi Bishnoi	,	4	,	24	,	3	,	6	,	10	,	0	,	FALSE
Sandeep Sharma	,	4	,	20	,	1	,	5	,	12	,	0	,	FALSE
Bhuvneshwar Kumar	,	4	,	34	,	1	,	8.5	,	10	,	0	,	FALSE
Jason Holder	,	4	,	19	,	3	,	4.75	,	9	,	0	,	FALSE
Khaleel Ahmed	,	3	,	22	,	0	,	7.33	,	5	,	0	,	FALSE
Rashid Khan	,	4	,	17	,	1	,	4.25	,	11	,	0	,	FALSE
Abdul Samad	,	1	,	9	,	1	,	9	,	1	,	0	,	FALSE
