Bowler				R		W		Econ		Dots		m		h
Trent Boult	,	3.4	,	28	,	3	,	7.63	,	12	,	0	,	FALSE
Jasprit Bumrah	,	4	,	14	,	1	,	3.5	,	12	,	0	,	FALSE
Adam Milne	,	3	,	33	,	0	,	11	,	4	,	0	,	FALSE
Krunal Pandya	,	3	,	30	,	1	,	10	,	8	,	0	,	FALSE
Rahul Chahar	,	4	,	19	,	3	,	4.75	,	13	,	0	,	FALSE
Kieron Pollard	,	2	,	10	,	0	,	5	,	5	,	0	,	FALSE
Bhuvneshwar Kumar	,	4	,	45	,	0	,	11.25	,	6	,	0	,	FALSE
Khaleel Ahmed	,	4	,	24	,	1	,	6	,	12	,	0	,	FALSE
Mujeeb Ur Rahman	,	4	,	29	,	2	,	7.25	,	10	,	0	,	FALSE
Abhishek Sharma	,	1	,	5	,	0	,	5	,	2	,	0	,	FALSE
Vijay Shankar	,	3	,	19	,	2	,	6.33	,	8	,	0	,	FALSE
Rashid Khan	,	4	,	22	,	0	,	5.5	,	11	,	0	,	FALSE
