Batsmen				Runs		Balls		SR		4s		6s
Marcus Stoinis	,	b Rashid Khan	,	38	,	27	,	140.74	,	5	,	1
Shikhar Dhawan	,	lbw Sandeep Sharma	,	78	,	50	,	156	,	6	,	2
Shreyas Iyer	,	c Manish Pandey b Jason Holder	,	21	,	20	,	105	,	1	,	0
Shimron Hetmyer	,	NOT OUT	,	42	,	22	,	190.9	,	4	,	1
Rishabh Pant	,	NOT OUT	,	2	,	3	,	66.66	,	0	,	0
David Warner	,	b Kagiso Rabada	,	2	,	3	,	66.66	,	0	,	0
Manish Pandey	,	c Anrich Nortje b Marcus Stoinis	,	21	,	14	,	150	,	3	,	0
Kane Williamson	,	c Kagiso Rabada b Marcus Stoinis	,	67	,	45	,	148.88	,	5	,	4
Jason Holder	,	c Pravin Dubey b Axar Patel	,	11	,	15	,	73.33	,	1	,	0
Abdul Samad	,	c sub (Keemo Paul) b Kagiso Rabada	,	33	,	16	,	206.25	,	2	,	2
Rashid Khan	,	c Axar Patel b Kagiso Rabada	,	11	,	7	,	157.14	,	1	,	1
Shreevats Goswami	,	c Marcus Stoinis b Kagiso Rabada	,	0	,	1	,	0	,	0	,	0
Shahbaz Nadeem	,	NOT OUT	,	2	,	3	,	66.66	,	0	,	0
Sandeep Sharma	,	NOT OUT	,	2	,	4	,	50	,	0	,	0
Priyam Garg	,	b Marcus Stoinis	,	17	,	12	,	141.66	,	0	,	2
