Bowler		o		R		W		Econ		Dots		m		h
Bhuvneshwar Kumar	,	4	,	45	,	1	,	11.25	,	10	,	0	,	FALSE
Sandeep Sharma	,	3	,	35	,	0	,	11.66	,	5	,	0	,	FALSE
T Natarajan	,	4	,	37	,	1	,	9.25	,	7	,	0	,	FALSE
Mohammad Nabi	,	4	,	32	,	2	,	8	,	9	,	0	,	FALSE
Rashid Khan	,	4	,	24	,	2	,	6	,	10	,	0	,	FALSE
Vijay Shankar	,	1	,	14	,	0	,	14	,	0	,	0	,	FALSE
Harbhajan Singh	,	1	,	8	,	0	,	8	,	3	,	0	,	FALSE
Prasidh Krishna	,	4	,	35	,	2	,	8.75	,	11	,	0	,	FALSE
Shakib Al Hasan	,	4	,	34	,	1	,	8.5	,	8	,	0	,	FALSE
Pat Cummins	,	4	,	30	,	1	,	7.5	,	9	,	0	,	FALSE
Andre Russell	,	3	,	32	,	1	,	10.66	,	5	,	0	,	FALSE
Varun Chakravarthy	,	4	,	36	,	0	,	9	,	6	,	0	,	FALSE
